texto,animal,intencion,gravedad
"quiero agendar una cita",desconocido,cita,baja
"necesito una cita para mi perro",perro,cita,baja
"puedo sacar cita para mañana",desconocido,cita,baja
"quiero llevar a mi gato a consulta",gato,cita,baja
"me puedes agendar una revisión",desconocido,cita,baja
"hay espacio para consulta",desconocido,cita,baja
"quiero cita para mi conejo",conejo,cita,baja
"necesito revisar a mi mascota",desconocido,cita,baja
"puedo agendar hoy",desconocido,cita,baja
"quiero saber horarios disponibles",desconocido,cita,baja
"me gustaría una consulta veterinaria",desconocido,cita,baja
"puedo llevar a mi perro mañana",perro,cita,baja
"quiero vacunar a mi gato",gato,cita,baja
"mi conejo necesita revisión",conejo,cita,baja
"quiero programar una consulta",desconocido,cita,baja
"hay citas esta semana",desconocido,cita,baja
"quiero una consulta para mi mascota",desconocido,cita,baja
"puedo apartar horario",desconocido,cita,baja
"necesito cita urgente",desconocido,cita,baja
"quiero llevar a mi perro al veterinario",perro,cita,baja
"quiero revisión para mi gato",gato,cita,baja
"agendar cita para conejo",conejo,cita,baja
"me ayudas con una cita",desconocido,cita,baja
"quiero atención veterinaria",desconocido,cita,baja
"puedo ir hoy con mi mascota",desconocido,cita,baja
"necesito consulta para vacunación",desconocido,cita,baja
"quiero esterilizar a mi gato",gato,cita,baja
"mi perro necesita vacunas",perro,cita,baja
"quiero llevar a mi conejo",conejo,cita,baja
"quiero una cita disponible",desconocido,cita,baja
"necesito consulta general",desconocido,cita,baja
"me gustaría revisar a mi perro",perro,cita,baja
"puedo hacer cita por aquí",desconocido,cita,baja
"quiero llevar a mi gato mañana",gato,cita,baja
"hay horarios libres",desconocido,cita,baja
"necesito atención para mi mascota",desconocido,cita,baja
"quiero consulta médica",desconocido,cita,baja
"mi conejo necesita vacunas",conejo,cita,baja
"quiero una revisión veterinaria",desconocido,cita,baja
"quiero consulta para mi cachorro",perro,cita,baja
"puedo reservar una cita",desconocido,cita,baja
"me interesa una consulta",desconocido,cita,baja
"mi gato necesita chequeo",gato,cita,baja
"quiero cita para revisión dental",desconocido,cita,baja
"quiero agendar revisión para mi perro",perro,cita,baja
"necesito atención para mi gato",gato,cita,baja
"quiero consulta para conejo",conejo,cita,baja
"me gustaría llevar a mi mascota",desconocido,cita,baja
"quiero apartar cita veterinaria",desconocido,cita,baja
"necesito revisión médica",desconocido,cita,baja

"mi perro vomita",perro,consulta,media
"mi gato no quiere comer",gato,consulta,media
"mi conejo tiene diarrea",conejo,consulta,media
"mi perro está triste",perro,consulta,baja
"mi gato está decaído",gato,consulta,media
